uniqueName,superclasses,subclasses,description
MAILING LIST,LIST,,An &lt;MAILING LIST&gt; is a &lt;LIST&gt; containing the name(s) of one or several receivers of a particular publication
MAINTENANCE PROCEDURE,"DOCUMENT, PROCEDURE","CORRECTIVE MAINTENANCE PROCEDURE, PLANNED MAINTENANCE PROCEDURE, PREVENTIVE MAINTENANCE PROCEDURE","An &lt;MAINTENANCE PROCEDURE&gt; is an &lt;InformationObject&gt; and a &lt;PROCEDURE&gt; and a &lt;DOCUMENT&gt; that describes how to perform routine, preventative and/or corrective maintenance activities"
PREVENTIVE MAINTENANCE PROCEDURE,MAINTENANCE PROCEDURE,,A &lt;PREVENTIVE MAINTENANCE PROCEDURE&gt; is an &lt;MAINTENANCE PROCEDURE&gt; that describes how to perform preventive maintenance activities
CORRECTIVE MAINTENANCE PROCEDURE,MAINTENANCE PROCEDURE,,A &lt;CORRECTIVE MAINTENANCE PROCEDURE&gt; is an &lt;MAINTENANCE PROCEDURE&gt; that describes how to perform corrective maintenance activities
PLANNED MAINTENANCE PROCEDURE,MAINTENANCE PROCEDURE,,A &lt;PLANNED MAINTENANCE PROCEDURE&gt; is an &lt;MAINTENANCE PROCEDURE&gt; that describes how to perform planned maintenance activities
MANIFEST,DOCUMENT,WASTE MANIFEST,A &lt;MANIFEST&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; with the purpose of &lt;RECORDING&gt; the contents of something
WASTE MANIFEST,MANIFEST,,A &lt;WASTE MANIFEST&gt; is a &lt;MANIFEST&gt; that is an inventory of waste produced at facility
MAP,DOCUMENT,"VOLTAGE MAP, WELD MAP, TOPOGRAPHIC MAP, general map",A &lt;MAP&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; with the purpose of &lt;PRESENTING&gt; or &lt;CHARTING&gt; &lt;INFORMATION&gt; in a graphic representation
general map,"MAP, general document",,a document with the purpose of presenting or charting information in a graphic representation
VOLTAGE MAP,MAP,,A &lt;VOLTAGE MAP&gt; is an &lt;InformationObject&gt; and a &lt;MAP&gt; that is the consistent presentation of the voltages at the major nodes of a network under specified operating conditions
TOPOGRAPHIC MAP,MAP,,"A &lt;TOPOGRAPHIC MAP&gt; is an &lt;InformationObject&gt; and a &lt;MAP&gt; that is characterized by large-scale detail and quantitative representation of relief, usually using contour lines, showing both natural and man-made features. Includes maps of seafloors of interest for Offshore activities"
WELD MAP,MAP,,A &lt;WELD MAP&gt; is an &lt;InformationObject&gt; and a &lt;MAP&gt; that is an outline drawing that usually identifies all welds and relates them to the relevant welding procedure number and non destructive testing requirements
MATERIAL MANAGEMENT PROCEDURE,"DOCUMENT, PROCEDURE",,"A &lt;MATERIAL MANAGEMENT PROCEDURE&gt; is an &lt;InformationObject&gt; and a &lt;PROCEDURE&gt; and a &lt;DOCUMENT&gt; for the management of materials (including Packing, Shipping, Handling and Storage)"
MATRIX REPRESENTATION,DOCUMENT,"AUTHORITY MATRIX, MESH IMPEDANCE MATRIX, DOCUMENT DISTRIBUTION MATRIX, general matrix, BUS IMPEDANCE MATRIX, BUS ADMITTANCE MATRIX, INCIDENCE MATRIX",A &lt;MATRIX REPRESENTATION&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; that is something resembling a mathematical matrix especially in rectangular arrangement of elements into rows and columns
general matrix,"MATRIX REPRESENTATION, general document",,a document that is something resembling a mathematical matrix especially in rectangular arrangement of elements into rows and columns
AUTHORITY MATRIX,MATRIX REPRESENTATION,,"An &lt;AUTHORITY MATRIX&gt; is a &lt;MATRIX REPRESENTATION&gt; provides an overview of people or organisations authorised to perform a range of tasks which may be technical, financial, contractual, organisational, or other. Includes Technical Authorities Matrix"
DOCUMENT DISTRIBUTION MATRIX,MATRIX REPRESENTATION,,A &lt;DOCUMENT DISTRIBUTION MATRIX&gt; is a &lt;MATRIX REPRESENTATION&gt; that provides an overview of distribution (workflow) process for documents
BUS ADMITTANCE MATRIX,MATRIX REPRESENTATION,,A &lt;BUS ADMITTANCE MATRIX&gt; is a &lt;MATRIX REPRESENTATION&gt; enabling the dependence of the node input currents on the node voltages to be expressed
BUS IMPEDANCE MATRIX,MATRIX REPRESENTATION,,A &lt;BUS IMPEDANCE MATRIX&gt; is a &lt;MATRIX REPRESENTATION&gt; that is the inverse bus admittance matrix
MESH IMPEDANCE MATRIX,MATRIX REPRESENTATION,,A &lt;MESH IMPEDANCE MATRIX&gt; is a &lt;MATRIX REPRESENTATION&gt; that expresses the dependence of the mesh voltages on the mesh currents
INCIDENCE MATRIX,MATRIX REPRESENTATION,,An &lt;INCIDENCE MATRIX&gt; is a &lt;MATRIX REPRESENTATION&gt; that describes the topology of a network
MEMORANDUM,DOCUMENT,PROCESS SAFEGUARDING MEMORANDUM,A &lt;MEMORANDUM&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; with the purpose of &lt;RECORDING&gt; a written business message containing something that must be remembered for future use
PROCESS SAFEGUARDING MEMORANDUM,MEMORANDUM,,"A &lt;PROCESS SAFEGUARDING MEMORANDUM&gt; is a &lt;MEMORANDUM&gt; that describes required process relief cases, the ultimate safeguards (relief devices) and penultimate safeguards (safeguards by instrumentation) for process integrity of a particular process unit. It complements the Process Safeguarding Flow Scheme"
MULTIMEDIA DOCUMENT,DOCUMENT,"VIDEO RECORD, AUDIO RECORD",A &lt;MULTIMEDIA DOCUMENT&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; that is a recording of one or more recordings or images on some information carrier
AUDIO RECORD,MULTIMEDIA DOCUMENT,,An &lt;AUDIO RECORD&gt; is a &lt;MULTIMEDIA DOCUMENT&gt; that is a recording of &lt;SOUND&gt; on some information carrier
VIDEO RECORD,MULTIMEDIA DOCUMENT,,A &lt;VIDEO RECORD&gt;is a &lt;MULTIMEDIA DOCUMENT&gt; that is a recording of moving visual &lt;IMAGE&gt;s on some information carrier
NARRATIVE,DOCUMENT,PROCESS CONTROL NARRATIVE,"A &lt;NARRATIVE&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; with the purpose of &lt;TELLING&gt; a &lt;STORY&gt; that is a representation of connected events, real or imaginary, presented in a sequence of written or spoken words, or still or moving images, or both"
PROCESS CONTROL NARRATIVE,NARRATIVE,,A &lt;PROCESS CONTROL NARRATIVE&gt; is a &lt;NARRATIVE&gt; that describes the process control functionality
NON-DESTRUCTIVE TEST PROCEDURE,"DOCUMENT, PROCEDURE",non destructive test procedure,"A &lt;NON-DESTRUCTIVE TEST PROCEDURE&gt; is an &lt;InformationObject&gt; and a &lt;PROCEDURE&gt; and a &lt;DOCUMENT&gt; for the process of inspecting, testing, or evaluating materials, components or assemblies for discontinuities, or differences in characteristics without destroying the serviceability of the part or system"
non destructive test procedure,"NON-DESTRUCTIVE TEST PROCEDURE, general procedure",,a procedure detailing all non-destructive tests/examinations. Excludes pressure tests
NOTICE,DOCUMENT,TECHNICAL NOTICE,A &lt;NOTICE&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; with the purpose of &lt;RECORDING&gt; a statement that contains &lt;INFORMATION&gt; that must be exchanged
TECHNICAL NOTICE,NOTICE,,A &lt;TECHNICAL NOTICE&gt; is  a &lt;NOTICE&gt; that describes how an engineering or maintenance issue will be resolved and what the implication of the solution is
OPERATING PROCEDURE,"DOCUMENT, PROCEDURE",,"An &lt;OPERATING PROCEDURE&gt; is an &lt;InformationObject&gt; and a &lt;PROCEDURE&gt; and a &lt;DOCUMENT&gt; how to start, operate and shut-down a facility under normal and abnormal circumstances"
PACKING AND SHIPPING PROCEDURE,"DOCUMENT, PROCEDURE",,"A &lt;PACKING AND SHIPPING PROCEDURE&gt; is an &lt;InformationObject&gt; and a &lt;PROCEDURE&gt; and a &lt;DOCUMENT&gt; that contains the requirements and rules for &lt;PACKING&gt;, &lt;SHIPPING&gt;, and &lt;HANDLING&gt; of plant items and supplies"
PHILOSOPHY REPORT,DOCUMENT,"MATERIAL AND EQUIPMENT PERFORMANCE PHILOSOPHY, PROCESS DESCRIPTION PHILOSOPHY, COMMISSIONING PHILOSOPHY, CORROSION PHILOSOPHY, FIRE PROTECTION PHILOSOPHY, METERING PHILOSOPHY, general philosophy, ACCOMMODATION PHILOSOPHY, SAFEGUARDING PHILOSOPHY, POWER SYSTEM PHILOSOPHY, CONTROL PHILOSOPHY, EQUIPMENT TYPE SELECTION PHILOSOPHY, ISOLATION PHILOSOPHY, DESIGN PHILOSOPHY",A &lt;PHILOSOPHY REPORT&gt; is a &lt;DOCUMENT&gt; and an &lt;InformationObject&gt; outlining the premise and intent for decisions that are to be followed regarding a specific subject
general philosophy,"PHILOSOPHY REPORT, general document",,a document outlining the premise and intent for decisions that are to be followed regarding a specific subject. Typically provided as instruction from Owner Operator
EQUIPMENT TYPE SELECTION PHILOSOPHY,PHILOSOPHY REPORT,,An &lt;EQUIPMENT TYPE SELECTION PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; outlining the premise and intent for decisions that are to be followed regarding a selection of rotating equipment. Typically provided as instruction from Owner Operator
SAFEGUARDING PHILOSOPHY,PHILOSOPHY REPORT,,"A &lt;SAFEGUARDING PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; outlining the premise and intent for decisions that are to be followed regarding safety instrumented systems (SIS) and flare and relief systems for process integrity of a facility.  Protecting against temperature and pressure extremes, hydrates, fire, explosion, etc."
ACCOMMODATION PHILOSOPHY,PHILOSOPHY REPORT,,"An &lt;ACCOMMODATION PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; with design considerations for accommodating personnel, including temporary refuges and associated facilities"
COMMISSIONING PHILOSOPHY,PHILOSOPHY REPORT,,A &lt;COMMISSIONING PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; effort and the methodology driving the team along to completion
CONTROL PHILOSOPHY,PHILOSOPHY REPORT,,"A &lt;CONTROL PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; that describes start-up and shutdown requirements of the process. May also list instrument and control equipment, pre-alarm and shutdown alarm/trip requirements, failure modes of valves and equipment and type of signals to and from the control logic"
CORROSION PHILOSOPHY,PHILOSOPHY REPORT,,"A &lt;CORROSION PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; that outlines the design rules and principles relating to corrosion (eg. material selection, allowances, mitigation techniques)"
DESIGN PHILOSOPHY,PHILOSOPHY REPORT,,"A &lt;DESIGN PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; that describes a set of ideas, beliefs, or underlying theory. e.g. for Process, the process sizing and design criteria., or whether to use 2D CAD vs 3D CAD vs Physical Block Model"
FIRE PROTECTION PHILOSOPHY,PHILOSOPHY REPORT,,"A &lt;FIRE PROTECTION PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; that summarises a philosophy regarding the means of fire protection both passive (firewalls) and active (manual, foam, monitor, deluge/sprinkler systems etc.)"
ISOLATION PHILOSOPHY,PHILOSOPHY REPORT,,An &lt;ISOLATION PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; that provides documentation of the process isolation philosophy for safe plant operation and maintenance
MATERIAL AND EQUIPMENT PERFORMANCE PHILOSOPHY,PHILOSOPHY REPORT,,"A &lt;MATERIAL AND EQUIPMENT PERFORMANCE PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; that describes performance requirements for architectural elements to be used for the selection criteria of generic type of materials, systems and equipment"
METERING PHILOSOPHY,PHILOSOPHY REPORT,,A &lt;METERING PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; that provides documentation of the metering and allocation philosophy for hydrocarbon fiscal measurement
POWER SYSTEM PHILOSOPHY,PHILOSOPHY REPORT,,"A &lt;POWER SYSTEM PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; that describes the philosophy regarding power system distribution, operation and load transfer"
PROCESS DESCRIPTION PHILOSOPHY,PHILOSOPHY REPORT,,A &lt;PROCESS DESCRIPTION PHILOSOPHY&gt; is a &lt;PHILOSOPHY REPORT&gt; that describes the Process Design and the applicable assumptions
PLAN,DOCUMENT,"PROJECT PLAN, OPERATIONS PLAN AND SCHEDULE, COMMISSIONING AND STARTUP PLAN, OPERATIONAL AND MAINTENANCE TRAINING PLAN, CHEMICALS SELECTION PLAN, DECOMMISSIONING PLAN, PROJECT CONTROL PLAN, SUSTAINABLE DEVELOPMENT PLAN, MATERIAL TESTING PLAN, ASSET REFERENCE PLAN, API PLAN, QUALITY PLAN, FLAWLESS PROJECT DELIVERY QUALITY PLAN, FIELD DEVELOPMENT PLAN, CORROSION INHIBITION TESTING PLAN, INSPECTION AND TEST PLAN, general plan, WASTE MANAGEMENT PLAN, ACTIVITY PLAN, STAKEHOLDER ENGAGEMENT PLAN, ASSURANCE PLAN, INSPECTION PLAN, PRODUCTION PLAN, AUDIT PLAN, DRILLING PLAN, PERMIT PLAN, SUBCONTRACT MANAGEMENT PLAN, DISCIPLINE DELIVERY PLAN, PROCUREMENT PLAN, SCHEDULE(plan), INTERFACE PLAN, RISK AND OPPORTUNITY MANAGEMENT PLAN, PROJECT INFORMATION PLAN, AUTHORIZATION PLAN, RECRUITMENT PLAN, STAFFING PLAN, FLAWLESS PROJECT DELIVERY PLAN, TURNOVER PLAN, WORK BREAKDOWN STRUCTURE PLAN, SAFETY DISPLAY PLAN, LIFTING, HOISTING AND RIGGING PLAN, POST AWARD CONTRACT MANAGEMENT PLAN, PROJECT FINANCIAL PLAN, SIMULTANEOUS OPERATIONS PLAN",A &lt;PLAN&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; with the purpose of &lt;PRESENTING&gt; a planned course of action
general plan,"general document, PLAN",,a document capturing what particular activities and requirements will be executed and delivered. Typically the plan is built upon a strategy
PROJECT PLAN,PLAN,,A &lt;PROJECT PLAN&gt; is a &lt;PLAN&gt; for the execution of a project
SAFETY DISPLAY PLAN,PLAN,,A &lt;SAFETY DISPLAY PLAN&gt; is a &lt;PLAN&gt; that indicates the location of safety signs and other relevant safety information
SCHEDULE(plan),PLAN,,A &lt;SCHEDULE(plan)&gt; is a &lt;PLAN&gt; of activities or events and when they must happen
CHEMICALS SELECTION PLAN,PLAN,,"A &lt;CHEMICALS SELECTION PLAN&gt; is a &lt;PLAN&gt; that is capturing parameters and requirements to validate selection of chemicals including but not limited to corrosion inhibitors, hydrate inhibitors, and  flow assurance chemicals"
DECOMMISSIONING PLAN,PLAN,,"A &lt;DECOMMISSIONING PLAN&gt; is a &lt;PLAN&gt; that is capturing what particular activities and requirements will be executed and delivered to decommission and demolish (parts of) existing assets. This would include temporary assets required only for the life of the project, as well"
"LIFTING, HOISTING AND RIGGING PLAN",PLAN,,"A &lt;LIFTING, HOISTING AND RIGGING PLAN&gt; is a &lt;PLAN&gt; that is capturing what particular activities and requirements will be executed and delivered for lifting, hoisting, and rigging.  It covers scope regardless of timing in asset lifecycle.  Specific risks relating to simultaneous operations are addressed"
SUBCONTRACT MANAGEMENT PLAN,PLAN,,"A &lt;SUBCONTRACT MANAGEMENT PLAN&gt; is a &lt;PLAN&gt; that is capturing what particular activities and requirements will be executed and delivered to manage subcontracts.  Also used to track status of all the essential activities to be performed. It categorises the actions to be taken (e.g. Team roles and responsibilities) and also the status of them (e.g. Open, Action party, due date)"
SUSTAINABLE DEVELOPMENT PLAN,PLAN,,"A &lt;SUSTAINABLE DEVELOPMENT PLAN&gt; is a &lt;PLAN&gt; that is capturing what particular activities and requirements will be executed and delivered to support a comprehensive development of the asset.  This includes but is not limited to Community Affairs, local content issues, societal effects of project, local business development, etc"
RISK AND OPPORTUNITY MANAGEMENT PLAN,PLAN,,"A &lt;RISK AND OPPORTUNITY MANAGEMENT PLAN&gt; is a &lt;PLAN&gt; capturing how risks and opportunities will be documented, communicated, managed, and closed.  Typically the plan is built upon a strategy"
SIMULTANEOUS OPERATIONS PLAN,PLAN,,A &lt;SIMULTANEOUS OPERATIONS PLAN&gt; is a &lt;PLAN&gt; capturing what particular activities and requirements will be executed and delivered to manage simultaneous operations with a brownfield operating asset
STAKEHOLDER ENGAGEMENT PLAN,PLAN,,A &lt;STAKEHOLDER ENGAGEMENT PLAN&gt; is a &lt;PLAN&gt; capturing what particular activities and requirements will be executed and delivered to support effective communication with partners and external stakeholders
DISCIPLINE DELIVERY PLAN,PLAN,,A &lt;DISCIPLINE DELIVERY PLAN&gt; is a &lt;PLAN&gt; that is a consolidated document describing discipline specific activities and deliverables and their criticality to drive appropriate review processes.  This is a starting point for document distribution matrix stating quality assurance and control requirements
ASSET REFERENCE PLAN,PLAN,,"An &lt;ASSET REFERENCE PLAN&gt; is a &lt;PLAN&gt; that is an integrated lifecycle management and development plan for surface and sub-surface facilities, including development scenarios, and phased development plans. Synonym ARP. The ARP Process includes activities such as developing the Asset Strategy, long term plans and Activity Based Cost Models, documenting assumptions and uncertainties, and identifying growth opportunities and how they will be pursued. By applying and evolving the ARP Process, Asset Managers will ensure the effective management of their assets, and control of associated costs, throughout the Asset Life Cycle"
ASSURANCE PLAN,PLAN,,"An &lt;ASSURANCE PLAN&gt; is a &lt;PLAN&gt; for quality, compliance, technical, value, cost and schedule assurance"
AUDIT PLAN,PLAN,,An &lt;AUDIT PLAN&gt; is a &lt;PLAN&gt; that for carrying out project quality audits
COMMISSIONING AND STARTUP PLAN,PLAN,,A &lt;COMMISSIONING AND STARTUP PLAN&gt; is a &lt;PLAN&gt; that explaining how commissioning and startup shall be accomplished
CORROSION INHIBITION TESTING PLAN,PLAN,,A &lt;CORROSION INHIBITION TESTING PLAN&gt; is a &lt;PLAN&gt; for corrosion inhibitor testing based on project process and design criteria
DRILLING PLAN,PLAN,,A &lt;DRILLING PLAN&gt; is a &lt;PLAN&gt; that typically includes a list of wells and when they are planned to be drilled
FIELD DEVELOPMENT PLAN,PLAN,,A &lt;FIELD DEVELOPMENT PLAN&gt; is a &lt;PLAN&gt; that provides an evaluation of field development alternatives together with the selection of an optimal development concept based on subsurface scenarios (uncertainty) and field engineering options
FLAWLESS PROJECT DELIVERY PLAN,PLAN,,A &lt;FLAWLESS PROJECT DELIVERY PLAN&gt; is a &lt;PLAN&gt; explaining how Flawless Project Delivery is implemented
FLAWLESS PROJECT DELIVERY QUALITY PLAN,PLAN,,A &lt;FLAWLESS PROJECT DELIVERY QUALITY PLAN&gt; is a &lt;PLAN&gt; explaining how a &lt;FLAWLESS PROJECT DELIVERY PLAN&gt; is implemented by Quality Area
INSPECTION PLAN,PLAN,,A &lt;INSPECTION PLAN&gt; is a &lt;PLAN&gt; for &lt;INSPECTING&gt; and &lt;TESTING&gt; of all construction and vendor work
INTERFACE PLAN,PLAN,,A &lt;INTERFACE PLAN&gt; is a &lt;PLAN&gt; for interfaces between internal and external parties (esp. between contract scopes). It is an overarching document making references to &lt;INTERFACE PROCEDURE&gt;s and an &lt;INTERFACE REGISTER&gt;
MATERIAL TESTING PLAN,PLAN,,"A &lt;MATERIAL TESTING PLAN&gt; is a &lt;PLAN&gt; for &lt;MATERIAL TESTING&gt;, covering mechanical or corrosion testing requirements on non shell approved materials"
OPERATIONAL AND MAINTENANCE TRAINING PLAN,PLAN,,An &lt;OPERATIONAL AND MAINTENANCE TRAINING PLAN&gt; is a &lt;PLAN&gt; that provides durations and locations of training sessions
PERMIT PLAN,PLAN,,A &lt;PERMIT PLAN&gt; is a &lt;PLAN&gt; for permits and licenses required to allow project work and construction to take place
POST AWARD CONTRACT MANAGEMENT PLAN,PLAN,,"A &lt;POST AWARD CONTRACT MANAGEMENT PLAN&gt; is a &lt;PLAN&gt; used to track all the esential activities to be performed in order to manage a contract. It categorises the actions to be taken (e.g. Team roles and responsibilities) and also the status of them (e.g. Open, Action party, due date)"
PROCUREMENT PLAN,PLAN,,"A &lt;PROCUREMENT PLAN&gt; is a &lt;PLAN&gt; for the purchase of bulk materials, equipment and services. Includes Requisition Plans"
PROJECT CONTROL PLAN,PLAN,,A &lt;PROJECT CONTROL PLAN&gt; is a &lt;PLAN&gt; that is maintained throughout the project phases and includes the project control systems and procedures
PROJECT INFORMATION PLAN,PLAN,,"A &lt;PROJECT INFORMATION PLAN&gt; is a &lt;PLAN&gt; that lists all information types (data and documents) to be created during a project, including details of timing, responsibility, format, criticality, project phase and handover"
RECRUITMENT PLAN,PLAN,,A &lt;RECRUITMENT PLAN&gt; is a &lt;PLAN&gt; that refers to a prearranged strategy for hiring employees. It acts as a timeline to find qualififed applicants without causing downtime for the &lt;Organization&gt;. It identifies the goals for a particular position
WASTE MANAGEMENT PLAN,PLAN,,A &lt;WASTE MANAGEMENT PLAN&gt; is a &lt;PLAN&gt; for management and safe disposal of all waste
WORK BREAKDOWN STRUCTURE PLAN,PLAN,,A &lt;WORK BREAKDOWN STRUCTURE PLAN&gt; is a &lt;PLAN&gt; that defines the scope of work for smaller manageable blocks based on the &lt;WORK BREAKDOWN STRUCTURE&gt;
TURNOVER PLAN,PLAN,,"A &lt;TURNOVER PLAN&gt; is a &lt;PLAN&gt;, listing data and documents to be handed over by the &lt;EPC CONTRACTOR&gt; to the &lt;OWNER/OPERATOR&gt;.  Includes timing and formats"
STAFFING PLAN,PLAN,,"A &lt;STAFFING PLAN&gt; is a &lt;PLAN&gt; describing required skill, knowledge, experience for a range of positions to execute the project. May address dates of requirement, quantities, etc. Includes &lt;JOB DESCRIPTION&gt;s"
ACTIVITY PLAN,PLAN,,"An &lt;ACTIVITY PLAN&gt; is a &lt;PLAN&gt; defining what steps must be taken in order to achieve a specific goal. The purpose of an action plan is to clarify what resources are required to reach the goal, formulate a timeline for when specific tasks need to be completed and determine what resources are required"
INSPECTION AND TEST PLAN,PLAN,,An &lt;INSPECTION AND TEST PLAN&gt; is a &lt;PLAN&gt; capturing what particular activities and requirements will be executed and delivered relating to inspection and testing for construction and vendor work.
OPERATIONS PLAN AND SCHEDULE,PLAN,,An &lt;OPERATIONS PLAN AND SCHEDULE&gt; is a &lt;PLAN&gt; that describes operating modes or standard ways in which the plant should operate so that plans can be based on these standard operating modes. Detailed plan for the operation of the plant in the immediate future
AUTHORIZATION PLAN,PLAN,,"An &lt;AUTHORIZATION PLAN&gt; is a &lt;PLAN&gt; that is an &lt;InformationObject&gt; and a high level plan, justification, and forecast for design and construction of a Plant. The authorization plan describes how funds, people, and resources are to be allocated for the plant project. It is an &lt;InformationObject&gt; and a document used internally; it is sometimes called a White Paper"
PROJECT FINANCIAL PLAN,PLAN,,"A &lt;PROJECT FINANCIAL PLAN&gt; is a &lt;PLAN&gt; that states how much the Plant will cost to construct, how it is to be paid for, all when payments are to be mate. It is an &lt;InformationObject&gt; and a general financing and cash flow plan"
PRODUCTION PLAN,PLAN,,"A &lt;PRODUCTION PLAN&gt; is a &lt;PLAN&gt; that is an &lt;InformationObject&gt; and a production plan is an &lt;InformationObject&gt; and a plan for the main activities connected with enginnering, purchase and production. The customer and supplier shall during the contract negotiations agrre upon the level of detailing and delivery date for the production plan and thi sshall be a part of the order"
QUALITY PLAN,PLAN,,A &lt;QUALITY PLAN&gt; is a &lt;PLAN&gt; describing procedures to warrant quality. It shall be proposed by the supplier and shall be included in a bid. The customer and supplier shall during the contract negotiations agree upon the level of detailing for the quality pLan
PLANNING PROCEDURE,"DOCUMENT, PROCEDURE",,A &lt;PLANNING PROCEDURE&gt; is an &lt;InformationObject&gt; and a &lt;PROCEDURE&gt; and a &lt;DOCUMENT&gt; for planning the project and monitoring its progress
POLICY,"DOCUMENT, PROCEDURE",,A &lt;POLICY&gt; is an &lt;InformationObject&gt; and a &lt;PROCEDURE&gt; and a &lt;DOCUMENT&gt; that is prescribes a course of action
PRESSURE TEST PROCEDURE,"DOCUMENT, PROCEDURE",pressure test procedure,"A &lt;PRESSURE TEST PROCEDURE&gt; is an &lt;InformationObject&gt; and a &lt;PROCEDURE&gt; and a &lt;DOCUMENT&gt; that includes hydrostatic, pneumatic, and leak test examinations"
pressure test procedure,"general procedure, PRESSURE TEST PROCEDURE",,"a procedure documenting specific steps to conduct inspection of an asset/object. Typically details boundaries of the test, isolations, method of pressurization, required hold intervals etc. Includes hydrostatic, pneumatic, vacuum and leak test/examinations"
PROPOSAL,"DOCUMENT, RECOMMENDATION","INVESTMENT PROPOSAL, general proposal, CHANGE PROPOSAL, BUDGET PROPOSAL, WELL PROPOSAL",A &lt;PROPOSAL&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; and a &lt;RECOMMENDATION&gt; to execute an activity to achieve or accept a situation that is recommended or desired according to one or more persons who are the proposers
general proposal,"general document, PROPOSAL",,a document which captures a recommended course of action with justifications from technical and/or commercial aspects
CHANGE PROPOSAL,PROPOSAL,,"A &lt;CHANGE PROPOSAL&gt; is a &lt;PROPOSAL&gt; to execute an activity to change something, shall be formulated"
BUDGET PROPOSAL,PROPOSAL,,A &lt;BUDGET PROPOSAL&gt; is a &lt;PROPOSAL&gt; to allocate money to activities
WELL PROPOSAL,PROPOSAL,,A &lt;WELL PROPOSAL&gt; is a &lt;PROPOSAL&gt; for existing or additional drilling
INVESTMENT PROPOSAL,PROPOSAL,,"An &lt;INVESTMENT PROPOSAL&gt; is a &lt;PROPOSAL&gt; prepared by the sponsor of a new investment project, or the management of an existing firm, for prospective investors and/or lenders"
QUALITY PROCEDURE,"DOCUMENT, PROCEDURE",,A &lt;QUALITY PROCEDURE&gt; is an &lt;InformationObject&gt; and a &lt;PROCEDURE&gt; and a &lt;DOCUMENT&gt; that describes the steps for managing quality of the work
QUOTATION,DOCUMENT,,"A &lt;QUOTATION&gt; is an &lt;InformationObject&gt; and a &lt;DOCUMENT&gt; that is a formal statement of promise (submitted usually in response to a &lt;RequestForQuotation) by potential supplier to supply the goods or services required by a buyer, at specified prices, and within a specified period. A quotation may also contain terms of sale and payment, and warranties. (source businessdictionary.com)"
