UniqueName,SuperClass,TextDefinition
CONNECTING ROD PIN BUSHING,SLEEVE BEARING,A <CONNECTING ROD PIN BUSHING> is an <SLEEVE BEARING> which is located inside the connecting rod at the crosshead side and moves over the crosshead pin.
CONSTANT LEVEL OILER,"ARTEFACT, LUBRICATION SYSTEM",A <CONSTANT LEVEL OILER> is an <ARTEFACT> and a <LUBRICATION SYSTEM> intended to supply and maintain an oil level at constant height within bearing housing
CONSTANT VELOCITY JOINT,FLEXIBLE COUPLING,"A <CONSTANT VELOCITY JOINT> is a <FLEXIBLE COUPLING> used for the drive shafts of front-wheel drive cars, which allow a high beding angle without showing cylindrical velocity changes like on conventional universal joints."
CONTAINMENT SPRAY PUMP,PUMP,A <CONTAINMENT SPRAY PUMP> is a <PUMP> that is specifically designed for <PUMPING> liquids for <SPRAYING>
CONTINOUS DUTY RATED ARTEFACT,"ARTEFACT, CONTINUOUS DUTY RATED",A <CONTINOUS DUTY RATED ARTEFACT> is an <ARTEFACT> that has a <CONTINUOUS DUTY RATED> (Status) for a defined period of time
CONTINUOUS WEIGHER,"ARTEFACT, WEIGHER",A <CONTINUOUS WEIGHER> is an <ARTEFACT> and a <WEIGHER> that weighs a <MASS FLOW RATE>
CONTINUOUS-TOOTH HERRINGBONE GEAR,HELICAL GEARBOX,"A <CONTINUOUS-TOOTH HERRINGBONE GEAR> is a <HELICAL GEARBOX> utilizing gear-wheels with helical arrowy teeth, cut without a groove separating the two rows of teeth."
CONTROL PISTON PUMP,PISTON PUMP,"A <CONTROL PISTON PUMP> is a <PISTON PUMP> that is using a piston to move the media through a cylindrical chamber, and a control function to provide more dynamic and precise control of the basic pump functions."
CONTROLLED VOLUME DIAPHRAGM PUMP,RECIPROCATING CONTROLLED VOLUME PUMP,A <CONTROLLED VOLUME DIAPHRAGM PUMP> is a <RECIPROCATING CONTROLLED VOLUME PUMP> that is utilizing a mechanically or hydraulically driven flexible diaphragm(s) in direct contact with the liquid being displaced
CONTROLLED VOLUME PISTON PUMP,RECIPROCATING CONTROLLED VOLUME PUMP,A <CONTROLLED VOLUME PISTON PUMP> is a <RECIPROCATING CONTROLLED VOLUME PUMP> that is utilizing piston(s) in direct contact with the liquid being displaced
CONTROLLED VOLUME PLUNGER PUMP,RECIPROCATING CONTROLLED VOLUME PUMP,"A <CONTROLLED VOLUME PLUNGER PUMP> is a <RECIPROCATING CONTROLLED VOLUME PUMP> that is utilizing plunger(s) with packing or seals to restrict leakage, in direct contact with the liquid being displaced"
COOLANT COOLING SYSTEM,"ARTEFACT, COOLING SYSTEM",A <COOLANT COOLING SYSTEM> is an <ARTEFACT> and a <COOLING SYSTEM> used to cool the coolant of another cooling system
COOLING FAN,"ARTEFACT, FAN",A <COOLING FAN> is an <ARTEFACT> and a <FAN> intended to be used for cooling
COOLING PORT,FLUID PORT,A <COOLING PORT> is a <FLUID PORT> that allows entry or exit of a cooling medium
COOLING WATER INLET PORT,LIQUID INLET PORT,A <COOLING WATER INLET PORT> is  a <LIQUID INLET PORT> for <COOLING WATER>
COOLING WATER OUTLET PORT,LIQUID OUTLET PORT,A <COOLING WATER OUTLET PORT> is  a <LIQUID OUTLET PORT> for <COOLING WATER>
COOLING WATER PIPING SYSTEM,PIPING SYSTEM,A <COOLING WATER PIPING SYSTEM> is a <PIPING SYSTEM> that is intended to transport cooling water to and from equipment.
CORROSION INHIBITOR INFIX SYSTEM,CHEMICAL INJECTION SYSTEM,"A <CORROSION INHIBITOR INFIX SYSTEM> is a <CHEMICAL INJECTION SYSTEM> that includes service for loading, storage, pumping and distribution of corrosion inhibitor."
COUCH BREAK PUMP,VACUUM PUMP,A <COUCH BREAK PUMP> is a <VACUUM PUMP> that is used in conjunction with couch (paper) break in paper machines.
COUPLING BOSS,ENGINE COMPONENT,A <COUPLING BOSS> is an <ENGINE COMPONENT> that is the boss in each end of a coupling which is mounted directly onto the shaft of the driving or driven shaft end.
COUPLING DIAPHRAGM,DIAPHRAGM,A <COUPLING DIAPHRAGM> is a <DIAPHRAGM> that is the key part of a diaphragm coupling.
COUPLING DRIVER HALF,HUB,A <COUPLING DRIVER HALF> is a <HUB> that is part of the coupling mounted onto the driver shaft.
COUPLING GUARD,GUARD,A <COUPLING GUARD> is a <GUARD> that is applied around a rotating coupling  to prevent components from flying off in case of coupling failure; sparking or non sparking material.
COUPLING GUARD - SPARKING,COUPLING GUARD,A <COUPLING GUARD> is a <GUARD> that is applied around a rotating coupling  to prevent components from flying off in case of coupling failure; sparks are generated in case of coupling failure
COUPLING GUARD NON-SPARKING,COUPLING GUARD,A <COUPLING GUARD> is a <GUARD> that is applied around a rotating coupling  to prevent components from flying off in case of coupling failure; no sparks are generated in case of coupling failure
COUPLING HUB,HUB,A <COUPLING HUB> is a <HUB> that is the connecting part to be attached either to the driver shaft end or to the driven equipment shaft end.
COUPLING LOCK NUT,LOCK NUT ASSEMBLY,A <COUPLING LOCK NUT> is a <LOCK NUT ASSEMBLY> that fastens a <COUPLING HUB> to a <SHAFT>
COUPLING SPACER,"ARTEFACT, SPACER","A <COUPLING SPACER is an <ARTEFACT> and a <SPACER> that is an intermediate and removable part between the torque transmission elements, positioned between the driver and driven side coupling hubs."
COWLING,"ARTEFACT, COVER","A <COWLING> is an <ARTEFACT> and a <COVER> that is a metal housing or removable covering for an engine, used to provide smooth air flow over the engine,used in aircrafts engines."
CRANK,"ARM, ARTEFACT",A <CRANK> is an <ARTEFACT> and an <ARM> for conveying motion which in its simplest form is a arm or handle secured at right angles to a shaft
CRANK JOURNAL,SHAFT,A <CRANK JOURNAL> is a <SHAFT> which is the main centric shaft of a crankshaft transmitting power and motion by rotation.
CRANK JOURNAL BEARING,"ARTEFACT, BEARING",A <CRANK JOURNAL BEARING> is an<ARTEFACT> and a <BEARING> that is the main centric bearing supporting the crank journal of a crankshaft
CRANK PIN,SHAFT,"A <CRANK PIN> is a <SHAFT> fitted into the webs or arms of a crankthrow, and to which a reciprocating member or connecting rod is attached."
CRANK WEB,"ARTEFACT, TRANSMITTER(force)","A <CRANK WEB> is an <ARTEFACT> and a <TRANSMITTER(force)> and that is one of the arms of a crank, usually of flat rectangular section"
CRANKCASE,ENGINE COMPONENT,A <CRANKCASE> is an <ENGINE COMPONENT> that is a casing supporting all motion parts belonging to the crankshaft and serving as oil reservoir too.
CRANKCASE BOLTING,"ARTEFACT, FASTENER",A <CRANKCASE BOLTING> is an <ARTEFACT> and a <FASTENER> and that includes a set of bolting (bolts/studs and nuts) for connection of the crosshead guide to the crankcase
CRANKCASE COVER,"ARTEFACT, COVER",A <CRANKCASE COVER> is an <ARTEFACT> and a <COVER> that is mounted on top of the crankcase to allow maintenance to the crankshaft and auxiliary parts
CRANKCASE OIL STRAINER,"ARTEFACT, STRAINER","A <CRANKCASE OIL STRAINER> is an <ARTEFACT> and a <STRAINER> used to clean oil, which is stored in the crank case reservoir before it goes to the bearings, that is applied in the oil stream to the lube oil pump(s)"
CRANKCASE STUDS AND NUTS,"ENGINE COMPONENT, FASTENER",A <CRANKCASE STUDS AND NUTS> is an <ENGINE COMPONENT> and a <FASTENER> that is studs and nuts that connects the crosshead guide to the crankcase
CRANKPIN BEARING,"ARTEFACT, BEARING",A <CRANKPIN BEARING> is an<ARTEFACT> and a <BEARING> that is the connection rod bearing located at the crankshaft side
CRANKPIN BEARING BOLTING,"ARTEFACT, FASTENER",A <CRANKPIN BEARING BOLTING> is an <ARTEFACT> and a <FASTENER> and that is the bolting that connects the crankpin bearing cap to the connecting rod big end
CRANKSHAFT,SHAFT,A <CRANKSHAFT> is a <SHAFT> that is the main drive shaft in equipment of the reciprocating type which converts the rotating motion into a linear one.
CRANKSHAFT ASSEMBLY,ENGINE COMPONENT,"A <CRANKSHAFT ASSEMBLY> is an <ENGINE COMPONENT> that is an assembly of a built crankshaft, i.e. of the crank web and the crank jounal."
CRANKSHAFT AXIAL BEARING,THRUST BEARING,A <CRANKSHAFT AXIAL BEARING> is a <THRUST BEARING> that is the crankshaft location bearing at the driven side carrying both axial and radial loads.
CRANKSHAFT COUNTERWEIGHT,COUNTERWEIGHT,A <CRANKSHAFT COUNTERWEIGHT> is a <COUNTERWEIGHT> that is a weight connected opposite a crank
CRANKSHAFT GEAR,GEAR,A <CRANKSHAFT GEAR> is a <GEAR> that drives the pinion gear of the mechanically driven lube oil pump.
CRANKSHAFT MAIN BEARING,"ARTEFACT, BEARING",A <CRANKSHAFT MAIN BEARING> is an<ARTEFACT> and a <BEARING> that is used inside a crankcase to support the crankshaft
CRANKSHAFT PINION OIL SEAL,PACKING(seal),"A <CRANKSHAFT PINION OIL SEAL> is a <PACKING(seal)> that consists of a stationary outer ring located in the crankcase endcover and a rotating inner ring sealing off the crankcase pinion shaft, driving the lubricator"
CRANKSHAFT PINION SHAFT,SHAFT,A <CRANKSHAFT PINION SHAFT> is a <SHAFT> that is an extension to the crankshaft.
CRANKSHAFT WITH COUNTERWEIGHT,CRANKSHAFT,A <CRANKSHAFT WITH COUNTERWEIGHT> is a <CRANKSHAFT> where the crank(s) is/are equipped with counterweight.
CRANKSHAFT WITHOUT COUNTERWEIGHT,CRANKSHAFT,A <CRANKSHAFT WITHOUT COUNTERWEIGHT> is a <CRANKSHAFT> that have crank(s) without counterweight.
CRANKTHROW,CRANK,"A <CRANKTHROW> is a <CRANK> that is a portion of an axis bent at right angles, used to communicate motion, or to change reciprocal into rotary motion, or the converse."
CRANKTHROW ASSEMBLY,ENGINE COMPONENT,"A <CRANKTHROW ASSEMBLY> is an <ENGINE COMPONENT> that is an assembly of a built crankthrow, i.e. of the crank webs and the crank pin."
CRESCENT PARTITION,"ARTEFACT, FLUID CONDUCTOR",A <CRESCENT PARTITION> is an <ARTEFACT> and a <FLUID CONDUCTOR> that is intended to create and seal cavities between the crescent and the driven gear rotor and idler gear rotor to transport fluid from suction to discharge
CROSS FLOW FAN,"ARTEFACT, FAN","A <CROSS FLOW FAN> is an <ARTEFACT> and a <FAN> that is usually long in relation to the diameter, so the flow approximately remains two-dimensional away from the ends. The <CFF> uses an impeller with forward curved blades, placed in a housing consisting of a rear wall and vortex wall"
CROSSED AXIS GEARBOX,GEARBOX,A <CROSSED AXIS GEARBOX> is a <GEARBOX> where the input and output shaft axises are crossing
CROSSED CYLINDRICAL ROLLER BEARING,CYLINDRICAL ROLLER BEARING,A <CROSSED CYLINDRICAL ROLLER BEARING> is a <CYLINDRICAL ROLLER BEARING> that has raceways in both the inner and outer ring which are inclined at an angle of 45 degrees to the bearing axis and where cylindrical rollers are arranged alternately at 90 degrees to each other. The rollers have a slightly larger diameter than their length.
CROSSHEAD,"ARTEFACT, TRANSMITTER(force)","A <CROSSHEAD> is an <ARTEFACT> and a <TRANSMITTER(force)>  that is a metal block, usually of the reciprocating type, moving between guides; it prevents the piston from moving from side to side and damaging the piston and cylinder."
CROSSHEAD ASSEMBLY,"ARTEFACT, TRANSMITTER(force)","A <CROSSHEAD ASSEMBLY> is an <ARTEFACT> and a <TRANSMITTER(force)> and that is the assembly of crosshead, i.e. the crosshead, crosshead pin crosshead bearing etc"
CROSSHEAD BALANCING WEIGHT,BALANCING WEIGHT,A <CROSSHEAD BALANCING WEIGHT> is a <BALANCING WEIGHT> that is a weight connected on either side of the crosshead body
CROSSHEAD BEARING,"ARTEFACT, BEARING",A <CROSSHEAD BEARING> is an<ARTEFACT> and a <BEARING> that constitute a part of the connection between the crosshead connecting rod and the crosshead pin in a crosshead engine
CROSSHEAD CONNECTING ROD,CONNECTING ROD,A <CROSSHEAD CONNECTING ROD> is a <CONNECTING ROD> that is transmitting motion from the crosshead in a crosshead engine to the crank
CROSSHEAD ENGINE,2-STROKE ENGINE,A <CROSSHEAD ENGINE> is a <2-STROKE ENGINE> that is a diesel engine with crosshead and piston rod design. These type of motors have a stuffing box around the piston rod preventing combusting products from contaminating the crankcase oil system. The air in the space between the piston and the diaphragm carrying the stuffing box is displaced by the descending piston into the cylinder through the intake ports as they are uncovered by the piston.
CROSSHEAD FLANGE,FLANGE,A <CROSSHEAD FLANGE> is a <FLANGE> that is connected to the crosshead body to accommodate the preloaded piston rod locknut assembly
CROSSHEAD GUIDE,"ARTEFACT, GUIDE",A <CROSSHEAD GUIDE> is an <ARTEFACT> and a <GUIDE> intended to house and guide a reciprocating crosshead
CROSSHEAD GUIDE COVER,"ARTEFACT, COVER",A <CROSSHEAD GUIDE COVER> is an <ARTEFACT> and a <COVER> that is mounted at the side of the crosshead guide to allow maintenance to the crosshead and auxiliary parts and to serve as a guard
CROSSHEAD GUIDE OIL SEAL ASSEMBLY,"OIL SEAL, SEAL ASSEMBLY",A <CROSSHEAD GUIDE OIL SEAL ASSEMBLY> is an <OIL SEAL> and a <SEAL ASSEMBLY> that is located between the crosshead guide and the distance piece and contains a set of oil scraper rings and springloaded seal rings
CROSSHEAD GUIDE OILSEAL ASSEMBLY,PACKING(seal),A <CROSSHEAD GUIDE OILSEAL ASSEMBLY> is a <PACKING(seal)> that is located between the crosshead guide and the distance piece and contains a set of oil scraper rings and springloaded seal rings as per <OEM> assembly drawing
CROSSHEAD GUIDE PARTITION COVER,"ARTEFACT, COVER",A <CROSSHEAD GUIDE PARTITION COVER> is an <ARTEFACT> and a <COVER> that is located between crosshead guide and inboard distance piece and contains the oil seal assembly
CROSSHEAD PIN BUSHING,BUSHING,A <CROSSHEAD PIN BUSHING> is a <BUSHING> that is located inside and connected to the crosshead and moving over the crosshead pin.
CROSSHEAD SHOE,ENGINE COMPONENT,A <CROSSHEAD SHOE> is an <ENGINE COMPONENT> that is a replaceable part mounted usually on the bottom and topside of the crosshead and running along the crosshead guide.
CROWN GEAR,GEAR,"A <CROWN GEAR> is a <GEAR> which has teeth that project at right angles to the face of the wheel. In particular, a crown gear is a type of <BEVEL GEAR> where the pitch cone angle is 90 degrees"
CRUDE OIL LOADING SYSTEM,"ARTEFACT, LOADING SYSTEM, OIL SYSTEM",A <CRUDE OIL LOADING SYSTEM> is an <ARTEFACT> and an <OIL SYSTEM> and a <LOADING SYSTEM> for dispatching crude oil
CRUDE OIL PUMP,PUMP,A <CRUDE OIL PUMP> is a <PUMP> that is specifically designed for <PUMPING> <CRUDE OIL>
CRUSHER ELEMENT,COMPONENT,A <CRUSHER ELEMENT> is a functional <COMPONENT> of a <CRUSHER>
CRYOGENIC EXPANDER,"ARTEFACT, EXPANDER",A <CRYOGENIC EXPANDER> is an <ARTEFACT> and an <EXPANDER> that is intended to expand gas pressure and to lower temperature to well below zero by which energy is generated
CRYOGENIC PUMP,PUMP,A <CRYOGENIC PUMP> is a <PUMP> that is specifically designed for <PUMPING> liquids at temperatures well below zero
CUP SPRING,"ARTEFACT, SPRING","A <CUP SPRING> is an <ARTEFACT> and a <SPRING> that consists of discs with a shallow cup shape, facing each other in pairs and stacked on to a central rod preventing them from slipping sideways"
CURTISS TURBINE,IMPULSE STEAM TURBINE,"A <CURTISS TURBINE> is an <IMPULSE STEAM TURBINE> that is provided with one pressure stage, followed by more velocity stages"
CUTTING OIL PUMP,PUMP,A <CUTTING OIL PUMP> is a <PUMP> that is specifically designed for <PUMPING> <CUTTING OIL>
CYCLONE,CENTRIFUGAL SEPARATOR,A <CYCLONE> is a <CENTRIFUGAL SEPARATOR> intended to separate by rotation based on difference in densities
CYLINDER BLOCK,ENGINE COMPONENT,A <CYLINDER BLOCK> is an <ENGINE COMPONENT> that is a group of cylinders in a single block of material
CYLINDER COVER CRANK END,CYLINDER HEAD,A <CYLINDER COVER CRANK END> is a <CYLINDER COVER> that is mounted at cylinder crank end containing the piston rod stuffing box and the cylinder flange connection to the distance piece.
CYLINDER COVER HEAD END,CYLINDER HEAD,A <CYLINDER COVER HEAD END> is a <CYLINDER COVER> that is mounted at cylinder head-end to among others allow installation and maintenance of inner parts.
CYLINDER HEAD,ENGINE COMPONENT,"A <CYLINDER HEAD> is an <ENGINE COMPONENT> that is a removeable top/part of the cylinder(s) on an internal combustion or steam engine. It may contain valve ports, cobustion chamber(s) and cooling water channels."
CYLINDER HEAD ASSEMBLY,ENGINE COMPONENT,A <CYLINDER HEAD ASSEMBLY> is an <ENGINE COMPONENT> that is a cylinder head with valves and valve gear.
CYLINDER HEAD BOLT,CYLINDER HEAD FIXATION BOLT,A <CYLINDER HEAD BOLT> is a <CYLINDER HEAD FIXATION BOLT> that is fixing the cylinder head of a piston engine to the cylinder.
CYLINDER HEAD FIXATION BOLT,BOLT,A <CYLINDER HEAD FIXATION BOLT> is a <BOLT> or stud bolt that is fixing the cylinder head of a piston engine to the engine cylinder. There are two types; tie rods (used on large 2-stroke engines) and cylinder head bolts
CYLINDER HEAD SINGLE PIECE ASSEMBLY,ENGINE COMPONENT,"A <CYLINDER HEAD SINGLE PIECE ASSEMBLY> is an <ENGINE COMPONENT> that is an assembly of a cylinder head with integrated valves and the belonging valves including mechanism. The assembly may include exhaust valve, fuel injection valve and starting air valve."
CYLINDER HEAD WITH BUILT ON EXHAUST VALVE HOUSING,CYLINDER HEAD,"A <CYLINDER HEAD WITH BUILT ON EXHAUST VALVE HOUSING> is a <CYLINDER HEAD> with built on exhaust valve housing, i.e. the exhaust valve and hosing is mounted on to the cylinder head."
CYLINDER HEAD WITH BUILT-ON EXHAUST VALVE HOUSING ASSEMBLY,ENGINE COMPONENT,"A <CYLINDER HEAD WITH BUILT-ON EXHAUST VALVE HOUSING ASSEMBLY> is an <ENGINE COMPONENT> that is an assembly of a cylinder head with built on exhaust valve housing and the belonging valves including mechanism. The assembly may include exhaust valve housing, exhaust valve, air inlet valve, fuel injection valve and starting air valve."
CYLINDER HEAD WITH INTEGRATED VALVES,CYLINDER HEAD,"A <CYLINDER HEAD WITH INTEGRATED VALVES> is a <CYLINDER HEAD> with integrated valves, i.e. it may have exhaust valve, inlet valve, injection valve and starting air valve integrated."
CYLINDER JACKET,"ARTEFACT, COIL",A <CYLINDER JACKET> is an <ARTEFACT> and a <COIL> or cylinder of wrought iron or steel placed round a cylinder liner to support and form a cooling channel or chamber
CYLINDER LINER,BUSHING,A <CYLINDER LINER> is a <BUSHING> that is a replaceable bushing inside a cylinder.
CYLINDER OIL LUBRICATION SYSTEM,LUBRICATION OIL SYSTEM,A <CYLINDER OIL LUBRICATION SYSTEM> is a <LUBRICATION OIL SYSTEM> providing lubrication oil to the cylinder(s) in a reciprocating piston engine.
CYLINDRICAL BORE COUPLING HUB,COUPLING HUB,A <CYLINDRICAL BORE COUPLING HUB> is a <COUPLING HUB> that has a cylindrical bore
CYLINDRICAL ROLLER BEARING,ROLLER BEARING,"A <CYLINDRICAL ROLLER BEARING> is a <ROLLER BEARING> that contains one or two rows of rollers, alternatively one row with crossed rollers between the outer and inner ring."
CYLINDRICAL ROLLER THRUST BEARING,ROLLER BEARING,A <CYLINDRICAL ROLLER THRUST BEARING> is a <ROLLER BEARING> that contains a cylindrical roller and cage thrust assembly located between a shaft washer and a housing washer to accommodate for axial loads in one direction.
DASHPOT,"ARTEFACT, DAMPER",A <DASHPOT> is an <ARTEFACT> and a <DAMPER> for damping the movement of a closure member
DECANTING CENTRIFUGE,CENTRIFUGE,A <DECANTING CENTRIFUGE> is a <CENTRIFUGE> that separates sediment from a fluid
DECANTING CENTRIFUGE DRUM,"DRUM, EQUIPMENT COMPONENT",A <DECANTING CENTRIFUGE DRUM> is a <DRUM> and an <EQUIPMENT COMPONENT> of a <DECANTING CENTRIFUGE>
DECAY HEAT REMOVAL PUMP,PUMP,A <DECAY HEAT REMOVAL PUMP> is a <PUMP> that is specifically designed for <REMOVING> heat after the fluid is used
DE-EMULSIFIER INFIX SYSTEM,CHEMICAL INJECTION SYSTEM,"A <DE-EMULSIFIER INFIX SYSTEM> is a <CHEMICAL INJECTION SYSTEM> that includes service for loading, storage, pumping and distribution of de-emulsifier"
DEEP GROOVE BALL BEARING,BALL BEARING,A <DEEP GROOVE BALL BEARING> is a <BALL BEARING> that uses balls running in one or two deep uninterrupted raceways in the inner and outer ring to handle higher loads as compared to shallow groove bearings.
DEEP GROOVE BALL BEARING ASSEMBLY,BEARING ASSEMBLY,A <DEEP GROOVE BALL BEARING ASSEMBLY> is a <BEARING ASSEMBLY> consisting of two or more deep groove ball bearings.
DEEPWELL PUMP,"CENTRIFUGAL PUMP, SUBMERSIBLE PUMP, VERTICAL PUMP",A <DEEPWELL PUMP> is a <CENTRIFUGAL PUMP> and a <VERTICAL PUMP> and a <SUBMERSIBLE PUMP> where pump and its electric or hydraulic driver are immersed and typically installed down in a well hole
DEEPWELL PUMP LIQUID SEAL,"ARTEFACT, SEAL",A <DEEPWELL PUMP LIQUID SEAL> is an <ARTEFACT> and a <SEAL> that is intended to separate oil in a submersible electric motor from the pumped product in a well
DEEPWELL PUMP WITH SUBMERSIBLE MOTOR ABOVE IMPELLER,DEEPWELL PUMP,A <DEEPWELL PUMP WITH SUBMERSIBLE MOTOR ABOVE IMPELLER> is a <DEEPWELL PUMP> where a submersible motor is mounted directly above the impeller(s)
DEEPWELL PUMP WITH SUBMERSIBLE MOTOR BELOW IMPELLER,DEEPWELL PUMP,A <DEEPWELL PUMP WITH SUBMERSIBLE MOTOR BELOW IMPELLER> is a <DEEPWELL PUMP>where a submersible motor is mounted directly below the impeller(s)
DELTA ENGINE,RECIPROCATING PISTON ENGINE,A <DELTA ENGINE> is a <RECIPROCATING PISTON ENGINE> with an engine block where the cylinders forms a delta configuration.
DELTA ENGINE CYLINDER BLOCK,PISTON ENGINE BLOCK,A <DELTA ENGINE CYLINDER BLOCK> is a <PISTON ENGINE BLOCK> where the cylinders forms a delta configuration.
DERRICK,SUPPORTING STRUCTURE,"A <DERRICK> is a <SUPPORTING STRUCTURE> that is a kind of crane with a movable pivoted arm for moving heavy weights, for example built over a wellsite to provide support for drilling equipment and a tall mast for raising and lowering drillpipe and casing."
DESCALING PUMP,PUMP,"A <DESCALING PUMP> is a <PUMP> that is specifically designed for <REMOVING> internal fouling and deposits in piping systems, heat exchangers, cooling circuits, water supply systems, etc. Either by flushing, or pumping with descaling chemicals. A descaling pump is consequently used for cleaning purposes; it can be either centrifugal or positive displacement pump"
DIAPHRAGM COMPRESSOR,RECIPROCATING COMPRESSOR,A <DIAPHRAGM COMPRESSOR> is a <RECIPROCATING COMPRESSOR> where compression is achieved through reciprocatory motion of the diaphragm within a chamber by which the compressed gas is fully isolated from any contamination.
DIAPHRAGM COUPLING,MECHANICAL POWER TRANSMISSION COUPLING,A <DIAPHRAGM COUPLING > is a <MECHANICAL POWER TRANSMISSION COUPLING> containing one or more flexible elements in the form of circular plates (diaphragms) that are attached to one part of the coupling at the outer diameter and the other part at the inner diameter; the flexible elements absorb any mis-alignment between input and output shafts
DIAPHRAGM LABYRINTH SEAL,LABYRINTH SEAL,"A <DIAPHRAGM LABYRINTH SEAL> is a <LABYRINTH SEAL> in a centrifugal compressor, intended to minimize internal recirculation"
DIAPHRAGM PUMP,RECIPROCATING PUMP,A <DIAPHRAGM PUMP> is a <RECIPROCATING PUMP> intended to pump a liquid with a small capacity. This is done by means of thin flexible diaphragms to seal pumped fluid from leakage to atmosphere; flow rate is achieved through reciprocatory motion of the diaphragm
DIESEL ENGINE,"INTERNAL COMBUSTION ENGINE, RECIPROCATING PISTON ENGINE",A <DIESEL ENGINE> is  an <INTERNAL COMBUSTION ENGINE> and a <RECIPROCATING PISTON ENGINE> in which ignition of the fuel injected into the cylinder is performed by the heat of compression of the air charge
DIESEL OIL PUMP,PUMP,A <DIESEL OIL PUMP> is  a <PUMP> that is specifically designed for <PUMPING> <DIESEL OIL>
DIESEL PROPULSION ENGINE,"DIESEL ENGINE, PROPULSION ENGINE",A <DIESEL PROPULSION ENGINE> is a <PROPULSION ENGINE> and a <DIESEL ENGINE>
DIESEL-ELECTRIC PROPULSION ENGINE,PROPULSION ENGINE,A <DIESEL-ELECTRIC PROPULSION ENGINE> is a <PROPULSION ENGINE> that is an engine that drives an electric generator which drives the propulsion system of a ship
DIFFERENTIAL PISTON PUMP,CONTROLLED VOLUME PISTON PUMP,"A <DIFFERENTIAL PISTON PUMP> is a <CONTROLLED VOLUME PISTON PUMP> that is double acting and typically driven by a pump feeding unit. The delivery rate is proportional with the number of double strokes per minute, which normally is controlled by pneumatically operated valves arranged in a piping system connected to the in- and outlets of the differential piston pump"
DIFFUSER,FunctionalObject,A <DIFFUSER> is a <FunctionalObject> that has the capability of <DIFFUSING> which is used in pumps to convert kinetic energy imparted by impeller to potential energy i.e. pressure head.
DIFFUSER PUMP,CENTRIFUGAL PUMP,A <DIFFUSER PUMP> is a <CENTRIFUGAL PUMP> that has a diffuser type static part
DIFFUSOR TYPE CASING,PUMP CASING,A <DIFFUSOR TYPE CASING> is a <PUMP CASING> where the pump impeller is surrounded by a casing with a set of stationary diffusor vanes to convert parts of the kinetic energy of the liquid into pressure energy.
DIRECT ACTING PUMP,RECIPROCATING PUMP,"A <DIRECT ACTING PUMP> is a <RECIPROCATING PUMP> where the pump driver is a piston motor integrally built as part of the pump unit. The piston motor can be driven by compressed gas like steam, air, etc. The pump can be of the double acting or single acting piston, or plunger type."
DIRECT ACTING STEAM  PUMP,DIRECT ACTING PUMP,A <DIRECT ACTING STEAM  PUMP> is a <DIRECT ACTING PUMP> by which the piston motor is driven by pressurized steam
DIRECT INJECTION DIESEL ENGINE,DIESEL ENGINE,A <DIRECT INJECTION DIESEL ENGINE> is a <DIESEL ENGINE> that is of the direct injection type by which direct fuel injection (DI) takes place into the <ENGINE CYLINDER> ; the diesel engine has no spark plugs
DISC BRAKE,MECHANICAL BRAKE,A <DISC BRAKE> is a <MECHANICAL BRAKE> that operates by the friction of two or more pads closed by the caliper action on to a disc which is connected rigidly to the wheel-hub.
DISC COUPLING,MECHANICAL POWER TRANSMISSION COUPLING,A <DISC COUPLING> is a <MECHANICAL POWER TRANSMISSION COUPLING> that consists of one or more elements that are alternately attached circumferentially to the two parts of the coupling; the attachment points being substantially at the same radial distance from the axial centerline
DISC ROTOR PUMP,ROTARY PUMP,A <DISC ROTOR PUMP> is a <ROTARY PUMP> that is using a rotating disc at the end of a shaft to displace liquid from suction to discharge at relatively low heads.
DISC THRUST BALANCER,THRUST BALANCE ASSEMBLY,A <DISC THRUST BALANCER> is a <THRUST BALANCE ASSEMBLY> used to absorb thrust generated in the axial direction of the multi stage pump
DISCHARGE COLUMN,"ARTEFACT, PROCESS COLUMN",A <DISCHARGE COLUMN> is an <ARTEFACT> and a <PROCESS COLUMN> with a cylindrical shape in which discharge flow is guided to grade
DISCHARGE COVER,"ARTEFACT, COVER",A <DISCHARGE COVER> is an <ARTEFACT> and a <COVER> that is a removable part of a pressurized casing with a special shape suitable to serve as discharge outlet
DISCHARGE ELBOW,PIPE ELBOW,A <DISCHARGE ELBOW> is a <PIPE ELBOW> that is intended to guide a discharge flow. It is mounted on top of a mounting plate as extension of a discharge column.
DISCHARGE PIPING SYSTEM,PIPING SYSTEM,A <DISCHARGE PIPING SYSTEM> is a <PIPING SYSTEM> that is located at the discharge of subject equipment through which pressurized fluid is transported.
DISCHARGE THROUGH COLUMN LINE SHAFT CENTRIFUGAL PUMP,LINE SHAFT CENTRIFUGAL PUMP,A <DISCHARGE THROUGH COLUMN LINE SHAFT CENTRIFUGAL PUMP> is a <LINE SHAFT CENTRIFUGAL PUMP> utilizing the pump column as discharge line
DISHWASHER,WHITE GOODS,"A <DISHWASHER> is a <WHITE GOODS> that is a power-operated machine for washing dishes, cutlery, etc"
DISTANCE PIECE,"ARTEFACT, SEPARATOR",A <DISTANCE PIECE> is an <ARTEFACT> and a <SEPARATOR> that is located between the crosshead guide and the cylinder to separate the compression part from the lubricated motion parts of the equipment
