uniqueName,superclasses,subclasses,description
VIBRATION REPORT,REPORT,,A <VIBRATION REPORT> is a <REPORT> that provides details about vibration performance including mechanical and electrical run out for displacement measuring systems during mechanical and performance testing of machinery
WEIGHT REPORT,REPORT,,"A <WEIGHT REPORT> is a <REPORT> that shows weight and center of gravity of equipment. If large items are to be handled for equipment installation or maintenance, then the weight and center of gravity of these individual parts should be shown. Final weighing certificate shall accompany goods during shipment and delivery"
ANALYSIS REPORT,REPORT,,An <ANALYSIS REPORT> is a <REPORT> which records assumptions and method determining objective analysis of a set of data.
ASSESSMENT REPORT,REPORT,,"An <ASSESSMENT REPORT> is a <REPORT> which details the results of a systematic collection, review, and use of information from multiple and diverse sources as a systematic basis for making inferences about a subject"
INSPECTION REPORT,REPORT,,"A <INSPECTION REPORT> is a <REPORT> documenting status and observations relating to an asset/object.  Can include paint, insulation, thickness measurement, destructive weld testing, NDE, preservation, cathodic protection tests, etc. Excludes pressure tests"
HEAT TREATMENT RECORDS,REPORT,,A <HEAT TREATMENT RECORDS> is a <REPORT> documenting method and results of heat treatment. Typically includes pyrometric charts or certificates confirming the heat treatment cycles have been conducted to Purchaser&#39;s requirements
REVIEW REPORT,REPORT,,A <REVIEW REPORT> is a <REPORT>  documenting results of a review.
WELL REPORT,REPORT,,A <WELL REPORT> is a <REPORT>> about the status of a <WELL>
DESIGN BASIS,REPORT,,A <DESIGN BASIS> is a <REPORT> provided by the Plant Owner or developed by the AEC contractor who establishes or defines the information/data on which Plant engineering is to be based
MATERIAL STOCK REPORT,REPORT,,"A <MATERIAL STOCK REPORT> is a <REPORT> about stock levels, purchase requests, check stock against equipment and materials requirements for maintenance and inspection. Information about utility material consumption (seawater, diesel fuel, heating medium)"
SAFETY COMPLIANCE REPORT,REPORT,,A <SAFETY COMPLIANCE REPORT> is a <REPORT> documenting analyses and evaluations of a plant with respect to safety considerations
STATUS REPORT,REPORT,,A <STATUS REPORT> is a <REPORT> about the current state of an activity or set of activities
"ENGINEERING DESIGN, CONSTRUCTION, AND OPERATION CHANGES",REPORT,,"An <ENGINEERING DESIGN, CONSTRUCTION, AND OPERATION CHANGES> is a <REPORT> about changes to the design of the plant arising from errors, omissions, new requirements, or other reasons during plant design, construction, or operation"
SITE SURVEY / SOIL INVESTIGATION REPORT,REPORT,,A <SITE SURVEY / SOIL INVESTIGATION REPORT> is a <REPORT> about a site survey and investigation of the soil for load bearing and other properties
PROGRESS REPORT,REPORT,,A <PROGRESS REPORT> is a <REPORT> containing information concerning the progress of an activity
CONSUMPTION DATA,REPORT,,"A <CONSUMPTION DATA> is a <REPORT> stating the normal and maximum (possible, guaranteed and expected) consumption of the equipment or unit. The following data may apply: electric power (current, voltage, frequency), other power sources (oil, gas, hydraulic fluid..), cooling/heating medium, other types"
ENVIRONMENT REPORT,REPORT,,An <ENVIRONMENT REPORT> is a <REPORT> that represents the different discharged quantities of matter or liquid or emission to atmosphere from an oil installation
REQUEST RECORD,DOCUMENT,"WAIVER REQUEST, general request, REQUEST FOR ACTION, TECHNICAL DEVIATION REQUEST",A <REQUEST RECORD> is an <InformationObject> and a <DOCUMENT> with a formal message requesting something
general request,"general document, REQUEST RECORD",,a formal contractual correspondence communicating a need for action associated with an assigned scope of work. NOT GENERIC ENOUGH
TECHNICAL DEVIATION REQUEST,REQUEST RECORD,,"A <TECHNICAL DEVIATION REQUEST> is a <REQUEST RECORD> for one or more changes to a technical specification. Would typically include justification and reasons for the request, and acceptance or rejection from a purely technical perspective"
WAIVER REQUEST,REQUEST RECORD,,"A <WAIVER REQUEST> is a <REQUEST RECORD> for the relaxation of an element of the particular regulatory Code, Standard, Rule or Regulation where such element conflicts with the International Code or Standard proposed for the facilities"
REQUEST FOR ACTION,REQUEST RECORD,,A <REQUEST FOR ACTION> is an <REQUEST RECORD> communicating a need for action associated with an assigned scope of work.
REQUISITION,DOCUMENT,"MATERIALS REQUISITION, requisition","A <REQUISITION> is an <InformationObject> and a <DOCUMENT> with a brief description of the parts to be ordered, with a statement of the pertinent drawings, specifications, etc., as well as a list of drawings and documents to be provided by the manufacturer/supplier"
requisition,"REQUISITION, general document",,"a request with a brief description of the parts to be ordered, with a statement of the pertinent drawings, specifications, etc., as well as a list of drawings and documents to be provided by the manufacturer/supplier"
MATERIALS REQUISITION,REQUISITION,,"A <MATERIALS REQUISITION> is a <REQUISITION> containing a description and quantity of materials to be procured, excluding cost information"
SCOPE OF WORK,DOCUMENT,scope of work,"A <SCOPE OF WORK> is an <InformationObject> and a <DOCUMENT> that gives the definition of the work to be performed under a contract in the completion of a project, typically broken out into specific tasks with deadlines"
scope of work,"SCOPE OF WORK, general document",,a document defining of work to be performed as part of a contract
SPECIFICATION,DOCUMENT,"COATING SPECIFICATION, METAL LOSS GEOMETRIC SPECIFICATION, PROJECT SPECIFICATION, GENERAL SPECIFICATION, NOISE SPECIFICATION APPLICABLE TO MACHINE, REQUIREMENT SPECIFICATION, CONTROL SYSTEM FUNCTIONAL SPECIFICATION, METAL LOSS CLUSTER SPECIFICATION, DESIGN SPECIFICATION, EQUIPMENT INSPECTION SPECIFICATION, PIPE BEND SPECIFICATION, SYSTEM SPECIFICATION, TECHNICAL SPECIFICATION, TREATMENT REQUIREMENT SPECIFICATION, PIPELINE END SEAL SPECIFICATION, CATHODIC PROTECTION SYSTEM SPECIFICATION, RELIEF AND BLOWDOWN SPECIFICATION, general specification, PACKAGE SPECIFICATION, DEXPI SPECIFICATION V1.2, INSULATION REQUIREMENT, PIPELINE SEVERITY CODE SPECIFICATION, INSPECTION AND TESTING REQUIREMENTS SPECIFICATION, DOCUMENT TYPE REQUIREMENT SPECIFICATION, INTERFACE SPECIFICATION, YIELD STRESS SPECIFICATION, DRAFTING SPECIFICATION, DEXPI SPECIFICATION, PAINTING SYSTEM SPECIFICATION, ANODE SPECIFICATION, WELDING AND WELD INSPECTION SPECIFICATION, CONSTRUCTION DESIGN SPECIFICATION, FABRICATION SPECIFICATION, WELDING PROCEDURE SPECIFICATION, STANDARD SPECIFICATION, APPLICABLE SPECIFICATION FOR CENTRIFUGAL COMPRESSOR SERVICE, NOISE SPECIFICATION APPLICABLE TO ENVIRONMENT, HEAT AND MATERIAL BALANCE, HYDROSTATIC TEST SPECIFICATION, TOLERANCE SIZING METHOD, MATERIAL SPECIFICATION, PROCEDURAL SPECIFICATION, CERTIFICATION SPECIFICATION, CORROSION INSPECTION SPECIFICATION, INSULATION AND HEAT TRACING SPECIFICATION, EQUIPMENT SPECIFICATION, PIPE SPECIFICATION, PERFORMANCE STANDARD FOR SAFETY CRITICAL ELEMENT, VALVE TRIM SPECIFICATION, FIELD BEND SPECIFICATION",A <SPECIFICATION> is an <InformationObject> and a <DOCUMENT> with the purpose of <DEFINING> one or more aspects of one or more physical objects or activities
general specification,"SPECIFICATION, general document",,a document formally establishing the mandatory limits or parameters which are to be met. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type
STANDARD SPECIFICATION,SPECIFICATION,,A <STANDARD SPECIFICATION> is a <SPECIFICATION> that specifies one or more generally applicable aspects for materials or activities
INSULATION REQUIREMENT,SPECIFICATION,,An <INSULATION REQUIREMENT> is a <SPECIFICATION> about whether insulation is required and about the type of insulation material or process
VALVE TRIM SPECIFICATION,SPECIFICATION,,A <VALVE TRIM SPECIFICATION> is a <SPECIFICATION> detailing the internal components of a valve
ANODE SPECIFICATION,SPECIFICATION,,An <ANODE SPECIFICATION> is a <SPECIFICATION> about galvanic anodes that provides a framework within which manufacturers must operate in order to produce anodes which comply with the design requirements and provide adequate protection to the given structure
APPLICABLE SPECIFICATION FOR CENTRIFUGAL COMPRESSOR SERVICE,SPECIFICATION,,An <APPLICABLE SPECIFICATION FOR CENTRIFUGAL COMPRESSOR SERVICE> is a <SPECIFICATION> of applicable centrifugal compressor service
CATHODIC PROTECTION SYSTEM SPECIFICATION,SPECIFICATION,,A <CATHODIC PROTECTION SYSTEM SPECIFICATION> is a <SPECIFICATION> covering a cathodic protection system
CERTIFICATION SPECIFICATION,SPECIFICATION,,A <CERTIFICATION SPECIFICATION> is a <SPECIFICATION> that is a European Standard for Metallic Products - Types of Inspection Documents
CONSTRUCTION DESIGN SPECIFICATION,SPECIFICATION,,"A <CONSTRUCTION DESIGN SPECIFICATION> is a <SPECIFICATION> containing detailed construction drawings, plant layout, equipment lists, isometric models, piping and instrumentation diagrams"
CORROSION INSPECTION SPECIFICATION,SPECIFICATION,,A <CORROSION INSPECTION SPECIFICATION> is a <SPECIFICATION> that is covering a corrosion inspection
DESIGN SPECIFICATION,SPECIFICATION,,A <DESIGN SPECIFICATION> is a <SPECIFICATION> according to which an item is intended to be designed
EQUIPMENT SPECIFICATION,SPECIFICATION,,An <EQUIPMENT SPECIFICATION> is a <SPECIFICATION> of European Standard for Metallic Products - Types of Inspection Documents with Certificate of compliance with the order
FABRICATION SPECIFICATION,SPECIFICATION,,A <FABRICATION SPECIFICATION> is a <SPECIFICATION> that contains a detailed description of features in the technical requirements for a fabrication process
FIELD BEND SPECIFICATION,SPECIFICATION,,A <FIELD BEND SPECIFICATION> is a <SPECIFICATION> that specifies field pipe bends
GENERAL SPECIFICATION,SPECIFICATION,,A <GENERAL SPECIFICATION> is a <SPECIFICATION> that generally applies to a number of physical objects of a given category
HYDROSTATIC TEST SPECIFICATION,SPECIFICATION,,A <HYDROSTATIC TEST SPECIFICATION> is a <SPECIFICATION> covering the hydrostatic test requirements specified in the manufacturing code or the design code
INSPECTION AND TESTING REQUIREMENTS SPECIFICATION,SPECIFICATION,,"An <INSPECTION AND TESTING REQUIREMENTS SPECIFICATION> is a <SPECIFICATION> covering the requirements for inspection and testing of a product, apparatus, or similar. The extent is normally specified based on international standards, governmental or statutory rules and regulations, company policies, criticality ranking as well as the manufacturing or design code for the actual object to be inspected/tested"
MATERIAL SPECIFICATION,SPECIFICATION,,A <MATERIAL SPECIFICATION> is a <SPECIFICATION> that describes the applicable materials for one or more items
METAL LOSS CLUSTER SPECIFICATION,SPECIFICATION,,A <METAL LOSS CLUSTER SPECIFICATION> is a <SPECIFICATION> that is covering rules for defining metal loss clusters
METAL LOSS GEOMETRIC SPECIFICATION,SPECIFICATION,,A <METAL LOSS GEOMETRIC SPECIFICATION> is a <SPECIFICATION> that is covering the geometric features of a metal loss area
NOISE SPECIFICATION APPLICABLE TO ENVIRONMENT,SPECIFICATION,,A <NOISE SPECIFICATION APPLICABLE TO ENVIRONMENT> is a <SPECIFICATION> that contains a reference to applicable noise specification for this environment
NOISE SPECIFICATION APPLICABLE TO MACHINE,SPECIFICATION,,A <NOISE SPECIFICATION APPLICABLE TO MACHINE> is a <SPECIFICATION> that contains a reference to applicable noise specification for this equipment
PACKAGE SPECIFICATION,SPECIFICATION,,"A <PACKAGE SPECIFICATION> is a <SPECIFICATION> that contains a detailed description of features in the technical requirements, design or composition of a <PROCUREMENT PACKAGE>"
PAINTING SYSTEM SPECIFICATION,SPECIFICATION,,A <PAINTING SYSTEM SPECIFICATION> is a <SPECIFICATION> that specifies the painting system to be used
PIPE BEND SPECIFICATION,SPECIFICATION,,A <PIPE BEND SPECIFICATION> is a <SPECIFICATION> covering piping bends
PIPE SPECIFICATION,SPECIFICATION,,A <PIPE SPECIFICATION> is a <SPECIFICATION> which describes line pipe
PIPELINE END SEAL SPECIFICATION,SPECIFICATION,,A <PIPELINE END SEAL SPECIFICATION> is a <SPECIFICATION> covering annulus seals
PIPELINE SEVERITY CODE SPECIFICATION,SPECIFICATION,,A <PIPELINE SEVERITY CODE SPECIFICATION> is a <SPECIFICATION> which specify pipeline severity codes
PROCEDURAL SPECIFICATION,SPECIFICATION,,A <PROCEDURAL SPECIFICATION> is a <SPECIFICATION> containing a set of related data that defines a good or service
REQUIREMENT SPECIFICATION,SPECIFICATION,,A <REQUIREMENT SPECIFICATION> is a <SPECIFICATION> defining something required
TECHNICAL SPECIFICATION,SPECIFICATION,,A <TECHNICAL SPECIFICATION> is a <SPECIFICATION> intended to define the requirements for a good or service
TOLERANCE SIZING METHOD,SPECIFICATION,,A <TOLERANCE SIZING METHOD> is a <SPECIFICATION> describing methods for sizing of tolerances
TREATMENT REQUIREMENT SPECIFICATION,SPECIFICATION,,A <TREATMENT REQUIREMENT SPECIFICATION> is a <SPECIFICATION> stating the requirement for treatment of a product
YIELD STRESS SPECIFICATION,SPECIFICATION,,A <YIELD STRESS SPECIFICATION> is a <SPECIFICATION> that is specifying yield stress
CONTROL SYSTEM FUNCTIONAL SPECIFICATION,SPECIFICATION,,A <CONTROL SYSTEM FUNCTIONAL SPECIFICATION> is a <SPECIFICATION> that gives a functional description of an Integrated Control and Safeguarding System
DOCUMENT TYPE REQUIREMENT SPECIFICATION,SPECIFICATION,,A <DOCUMENT TYPE REQUIREMENT SPECIFICATION> is a <SPECIFICATION> that of the Information types required by the owner for delivery and handover
DRAFTING SPECIFICATION,SPECIFICATION,,"A <DRAFTING SPECIFICATION> is a <SPECIFICATION> with rules and conventions for preparing drawings, including symbol lists, etc"
EQUIPMENT INSPECTION SPECIFICATION,SPECIFICATION,,An <EQUIPMENT INSPECTION SPECIFICATION> is a <SPECIFICATION> prescribing types of inspection documents and certificate of compliance
INSULATION AND HEAT TRACING SPECIFICATION,SPECIFICATION,,A <INSULATION AND HEAT TRACING SPECIFICATION> is a <SPECIFICATION> for < HEAT INSULATION> and for a <HEAT TRACING SYSTEM>
PERFORMANCE STANDARD FOR SAFETY CRITICAL ELEMENT,SPECIFICATION,,"A <PERFORMANCE STANDARD FOR SAFETY CRITICAL ELEMENT> is a <SPECIFICATION> that defines, expressed in qualitative or quantitative terms, of the performance required of a system or item of equipment,which is used as the basis for managing risk of the Severity 5 or high risk Hazards and Events (SCE)"
PROJECT SPECIFICATION,SPECIFICATION,,"A <PROJECT SPECIFICATION> is a <SPECIFICATION> that is a comprehensive description of objectives for a project. It contains all goals, functionality, and details required"
RELIEF AND BLOWDOWN SPECIFICATION,SPECIFICATION,,A <RELIEF AND BLOWDOWN SPECIFICATION> is a <SPECIFICATION> with sizing data for the relief and blowdown systems
WELDING AND WELD INSPECTION SPECIFICATION,SPECIFICATION,,A <WELDING AND WELD INSPECTION SPECIFICATION> is a <SPECIFICATION> that defines the material types and welding/inspection minimum requirements for the welding activities
WELDING PROCEDURE SPECIFICATION,SPECIFICATION,,"A <WELDING PROCEDURE SPECIFICATION> is a <SPECIFICATION> that is the formal written document describing welding procedures, which provides direction to the welder or welding operators for making sound and quality production welds as per the code requirements"
COATING SPECIFICATION,SPECIFICATION,,A <COATING SPECIFICATION> is a <SPECIFICATION> defining the requirements for one or more <COATING LAYER>s
DEXPI SPECIFICATION,SPECIFICATION,,"The <DEXPI SPECIFICATION> is a <SPECIFICATION> definig a general method for data exchange, data interoperability and data integration for the process industry covering all phases of the lifecycle of a (petro-)chemical plant, ranging from specification of functional requirements to assets in operation"
DEXPI SPECIFICATION V1.2,SPECIFICATION,,The <DEXPI SPECIFICATION V1.2> is a <SPECIFICATION> that is version 1.2 of the <DEXPI SPECIFICATION>
HEAT AND MATERIAL BALANCE,SPECIFICATION,,A <HEAT AND MATERIAL BALANCE> is a <SPECIFICATION> that lists the results of process design
SYSTEM SPECIFICATION,SPECIFICATION,,A <SYSTEM SPECIFICATION> is a <SPECIFICATION> defining the requirements for a system
INTERFACE SPECIFICATION,SPECIFICATION,,"An <INTERFACE SPECIFICATION> is a <SPECIFICATION> defining the interface between an object or type of object and its surroundings, either from a physical or functional point of view"
STRATEGY DOCUMENT,"DOCUMENT, STRATEGY","MAINTENANCE STRATEGY DOCUMENT, MATERIAL STOCK STRATEGY DOCUMENT, STOCK STRATEGY DOCUMENT, general strategy, PROCUREMENT AND CONTRACTING STRATEGY, ENGINEERING DESIGN STRATEGY, COMMISSIONING AND STARTUP STRATEGY, ENGINEERING DESIGN STRATEGY DOCUMENT",A <STRATEGY DOCUMENT> is an <InformationObject> and a <DOCUMENT> and a <STRATEGY>
general strategy,"STRATEGY DOCUMENT, general document",,a document outlining the application of a philosophical stance for decisions and the resulting principles that are to be followed to achieve the intent. Typically developed based on a philosophy
STOCK STRATEGY DOCUMENT,STRATEGY DOCUMENT,,A <STOCK STRATEGY DOCUMENT> is a <STRATEGY DOCUMENT> for holding stock optimised for cost and delivery requirements
COMMISSIONING AND STARTUP STRATEGY,STRATEGY DOCUMENT,,A <COMMISSIONING AND STARTUP STRATEGY> is a <STRATEGY DOCUMENT> explaining how commissioning and startup shall be accomplished
ENGINEERING DESIGN STRATEGY,STRATEGY DOCUMENT,,An <ENGINEERING DESIGN STRATEGY> is a <STRATEGY DOCUMENT> that describes the philosophy and approach for a design
PROCUREMENT AND CONTRACTING STRATEGY,STRATEGY DOCUMENT,,"A <PROCUREMENT AND CONTRACTING STRATEGY> is a <STRATEGY DOCUMENT> that identifies the in-house scope and the contract packages that will eventually be placed in the market. The development of contracting and procurement strategies is the first step towards aligning the project demands of external parties (in terms of the required goods and services), with the market supply, in terms of capable and experienced contractors and suppliers"
MAINTENANCE STRATEGY DOCUMENT,STRATEGY DOCUMENT,,"A <MAINTENANCE STRATEGY DOCUMENT> is a <STRATEGY DOCUMENT> defining the required maintenance activities in case of preventive, breakdown or shutdown maintenance"
MATERIAL STOCK STRATEGY DOCUMENT,STRATEGY DOCUMENT,,A <MATERIAL STOCK STRATEGY DOCUMENT> is a <STRATEGY DOCUMENT> for holding stock required for maintenance
ENGINEERING DESIGN STRATEGY DOCUMENT,STRATEGY DOCUMENT,,An <ENGINEERING DESIGN STRATEGY DOCUMENT> is a <STRATEGY DOCUMENT> about the philosophy and approach for a design
SUMMARY,DOCUMENT,DESIGN SUMMARY,A <SUMMARY> is an <InformationObject> and a <DOCUMENT> with the purpose of <DESCRIBING> an abbreviated form of the most important part of an information set
DESIGN SUMMARY,SUMMARY,,"A <DESIGN SUMMARY> is a <SUMMARY> explaining how the design of a major part of a facility has been conducted in accordance with the design philosophy. It presents the essential characteristics (e.g. design properties, operating conditions) of the facility designed, and makes references to other documents giving more detailed information about the design. This document type can be used to classify documents like pipeline design report, riser design report"
SURFACE PROTECTION PROCEDURE,"DOCUMENT, PROCEDURE",surface protection procedure,"A <SURFACE PROTECTION PROCEDURE> is an <InformationObject> and a <PROCEDURE> and a <DOCUMENT> that covers <PAINTING>, <COATING>, and <CATHODIC PROTECTION>"
surface protection procedure,"SURFACE PROTECTION PROCEDURE, general procedure",,"a procedure detailing painting, coating and cathodic protection"
TECHNICAL PROJECT DOCUMENTATION,DOCUMENT,country regulation technical project documentation book,A <TECHNICAL PROJECT DOCUMENTATION> is an <InformationObject> and a <DOCUMENT> that is a technical document describing the facilities that are proposed to be built in a country. The document is submitted to the regulatory authorities for review and approval. The Environmental Chapter is an integral part of the TPD and may be included in full or as a reference to the approved EIA. An approved TPD forms part of the submission to gain a Permit to Construct. The content of this document document is driven by regulatory requirements
country regulation technical project documentation book,"TECHNICAL PROJECT DOCUMENTATION, general document",,a technical document describing the facilities that are proposed to be built in a country and includes all information required for regulatory approval to proceed. The document is submitted to the regulatory authorities for review and approval
TERMS OF REFERENCE,DOCUMENT,terms of reference,"A <TERMS OF REFERENCE> is an <InformationObject> and a <DOCUMENT> that defines the purpose and structures of a project, committee, meeting, negotiation, or any similar collection of people who have agreed to work together to accomplish a shared goal. It shows how the object in question will be defined, developed, and verified and should also provide a documented basis for making future decisions and for confirming or developing a common understanding of the scope among stakeholders"
terms of reference,"TERMS OF REFERENCE, general document",,"a document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process"
TEST PROCEDURE,"DOCUMENT, PROCEDURE",,A <TEST PROCEDURE> is an <InformationObject> and a <PROCEDURE> and a <DOCUMENT> for performing a test or tests of a kind
VALIDATION PROCEDURE,"DOCUMENT, PROCEDURE","INPUT VALIDATION PROCEDURE, OUTPUT VALIDATION PROCEDURE",A <VALIDATION PROCEDURE> is an <InformationObject> and a <PROCEDURE> and a <DOCUMENT> that describes how to determine whether information and/or format entering or exiting a <SYSTEM> satisfies a specified criterium
INPUT VALIDATION PROCEDURE,VALIDATION PROCEDURE,,An <INPUT VALIDATION PROCEDURE> is a <VALIDATION PROCEDURE> defining how to validate the <INPUT> into a <SYSTEM>
OUTPUT VALIDATION PROCEDURE,VALIDATION PROCEDURE,,An <OUTPUT VALIDATION PROCEDURE> is a <VALIDATION PROCEDURE> defining how to validate the <OUTPUT> of a <SYSTEM>
VENDOR DOCUMENT,DOCUMENT,MANUFACTURER DATASHEET,A <VENDOR DOCUMENT> is an <InformationObject> and a <DOCUMENT> that originates from an <Organization> in the <Role> of <SUPPLIER>
WARRANTY DOCUMENT,DOCUMENT,,"A <WARRANTY DOCUMENT> is an <InformationObject> and a <DOCUMENT> that is a written guarantee, issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time"
WEIGHING PROCEDURE,"DOCUMENT, PROCEDURE",,A <WEIGHING PROCEDURE> is an <InformationObject> and a <PROCEDURE> and a <DOCUMENT> that details a method of recording weight during design and manufacture and a method of weighing equipment prior to shipment; A detailed definition of the <DATA> required in a particular context is given in the applicable instance of <DocumentDefinition>
WELDING PROCEDURE QUALIFICATION,DOCUMENT,welding procedure qualification,A <WELDING PROCEDURE QUALIFICATION> is an <InformationObject> and a <DOCUMENT> that describes the parameters used in qualification of Welding Procedures together with mechanical testing results
welding procedure qualification,"WELDING PROCEDURE QUALIFICATION, general document",,"a record documenting the execution and satisfactory testing of a weld procedure specification, typically includes all testing procedure references and both destructive and non-destructive testing results"
WELDING REPAIR PROCEDURE,"DOCUMENT, PROCEDURE",welding repair procedure,A <WELDING REPAIR PROCEDURE> is an <InformationObject> and a <PROCEDURE> and a <DOCUMENT> describING a set of logically sequenced instructions to execute a weld repair
welding repair procedure,"WELDING REPAIR PROCEDURE, general procedure",,a document which describes a set of logically sequenced instructions to execute a weld repair
WELL KILLING PROCEDURE,"DOCUMENT, PROCEDURE","FORWARD CIRCULATION WELL KILLING PROCEDURE, LUBRICATE AND BLEED WELL KILLING PROCEDURE, REVERSE CIRCULATION PROCEDURE, WAIT AND WEIGHT WELL KILLING PROCEDURE, BULLHEADING WELL KILLING PROCEDURE, DRILLERS METHOD WELL KILLING PROCEDURE",A <WELL KILLING PROCEDURE> is an <InformationObject> and a <PROCEDURE> and a <DOCUMENT> that is an <InformationObject> and a step by step description of activities to be initiated to kill a kick incident
REVERSE CIRCULATION PROCEDURE,WELL KILLING PROCEDURE,,"A <REVERSE CIRCULATION PROCEDURE> is a <WELL KILLING PROCEDURE> that defines how a prescription for a drilling fluid circulation down the completion annulus, workstring annulus or pipe annulus and taking returns up the tubing, workstring or pipe shall be formulated"
FORWARD CIRCULATION WELL KILLING PROCEDURE,WELL KILLING PROCEDURE,,"A <FORWARD CIRCULATION WELL KILLING PROCEDURE> is a <WELL KILLING PROCEDURE> that defines how a prescription for a drilling fluid circulation down the tubing, through a circulation device (or out the end of a work string/coiled tubing) and up the annulus shall be formulated"
WAIT AND WEIGHT WELL KILLING PROCEDURE,WELL KILLING PROCEDURE,,A <WAIT AND WEIGHT WELL KILLING PROCEDURE> is a <WELL KILLING PROCEDURE> that defines how a prescription for circulating heavier kill mud while a constant downhole pressure is maintained by pressure relief through a choke shall be formulated
BULLHEADING WELL KILLING PROCEDURE,WELL KILLING PROCEDURE,,A <BULLHEADING WELL KILLING PROCEDURE> is a <WELL KILLING PROCEDURE> that defines how a prescription for pumping of kill weight fluid down the tubing and forcing the wellbore fluids back into the formation through the perforations shall be formulated
LUBRICATE AND BLEED WELL KILLING PROCEDURE,WELL KILLING PROCEDURE,,"A <LUBRICATE AND BLEED WELL KILLING PROCEDURE> is a <WELL KILLING PROCEDURE> that defines how a prescription shall be formulated for pumping a volume of killing fluid corresponding to half the volume of the well tubing into the well, observing the well for 30 - 60 minutes and wait for the tubing head pressure to drop, then pump additional killing fluid into the well and when the wellhead pressure does not exceed 200 psi above observed tubing head pressure bleed off gas from the tubing at high rate"
DRILLERS METHOD WELL KILLING PROCEDURE,WELL KILLING PROCEDURE,,A <DRILLERS METHOD WELL KILLING PROCEDURE> is a <WELL KILLING PROCEDURE> that defines how a prescription for the circulation of the kick fluids out of the well and then circulating a higher density kill mud through the kill line into the well through an adjustable choke shall be formulated
general document,DOCUMENT,"general study, general diagram, general philosophy, correspondence, general manual, general drawing, general instruction, general estimate, general procedure, terms of reference, general chart, general plan, general order, general specification, general strategy, general review report, general datasheet, general histogram, general request, general matrix, general agreement, assembly diagram, general report, technical note, general calculation, invitation to tender, multimedia, general data, scope of work, general proposal, general schedule, general standard, general register, process control narrative, general notification, contract, general assessment, general certificate, general arrangement diagram, general analysis, welding procedure qualification, safeguarding memorandum, requisition, country regulation technical project documentation book, general questionnaire, general list, general map","a written, drawn, presented or recorded representation of thoughts"
assembly diagram,general document,,a diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work
general arrangement diagram,general document,,A diagram showing the main features and locations of major items. Usually has some dimensions to convey spatial relationships but is generally inadequate for construction
invitation to tender,"general document, INVITATION TO TENDER",,"a standardised document by which the Company invites Tenderers to submit a tender for a Contract. It encloses the conditions for the submission of a tender and gives the terms of reference or the technical qualifications required. Synonym: Request for Proposal (RFP), Request for Quotation (RFQ)"
general analysis,general document,,a report documenting assumptions and method determining objective analysis of a set of data. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type
general assessment,general document,,"an assessment which details a Health check, GAP analysis, etc. both informal and to meet Project Management Framework requirements. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type"
general estimate,general document,,"a judgement based calculation showing a summation of cost/schedule taking into consider probabilities to develop a projected performance and should document rationale, approach, inputs, etc"
general manual,"MANUAL, general document",,"a document that describes methods of working to be used to accomplish an activity. Synonym: Guide, Guideline. Warning: this should not be a compilation of other deliverables. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type"
multimedia,general document,,"multimedia being Picture, Sound or Video. Includes laser scans, x-rays, sonograms, installation videos, photogrammetry, illustrations, &#39;fly-throughs&#39;, etc"
general procedure,"PROCEDURE, general document","emergency response procedure, welding repair procedure, OA6180, LA6180, interface procedure, CS6180, non destructive test procedure, NA6180, change control procedure, MX6180, cost control procedure, handling, shipping, storage procedure, HX6180, communication procedure, VA6180, JA6180, PX6180, MH6180, KA6180, HS6180, forming, heat treatment procedure, pressure test procedure, document, data control procedure, IN6180, MP6180, RA6180, BA6180, BC6180, TA6180, EA6180, application software, surface protection procedure, MR6180",a document which describes a set of logically sequenced instructions to execute an activity. Not to be used if a more specific document type can be used. Can be used for singular/speciality deliverables which do not have a unique document type
general register,general document,,an authoritative collection of values with a relationship to a specific topic or object that could be either technical or business related. The columns of this collection are specified and controlled
general review report,general document,,a report documenting results of a review. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type
general schedule,general document,,a time-based document outlining sequence and duration of activities related to the completion of scope
general study,general document,,a document detailing the result of a professional evaluation and/or investigation of a specific subject. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type
process control narrative,general document,,a document describing the process control functionality (e.g. level control)
safeguarding memorandum,general document,,"a document outlining the premise and intent for decisions that are to be followed regarding process relief cases, the ultimate safeguards (relief devices) and penultimate safeguards (safeguards by instrumentation) for process integrity of a particular process unit. It complements the Process Safeguarding Flow Diagram"
technical note,general document,,A communication documenting how an engineering or maintenance issue will be resolved and what the implication of the solution is
general data,general document,,"is about known or assumed atomic facts, represented by quantities, characters, or symbols on which operations are performed by a human or a computer"
general instruction,general document,,"a directive about something that must be done, often given by someone in authority"
